Formula,Material ID,a,b,c,avg_lattice,volume,density
SiP,mp-2798,3.522256720533444,10.410560831543512,14.412133950319642,9.448317167465532,520.8539229316051,2.259448359192474
SiP2,mp-9996,3.44067778,10.19462847,14.98396604,9.53975743,525.5840606792137,2.2756147276297805
SiSe2,mp-1250007,6.502780585303543,17.33355763,6.253965429032452,10.030101214778666,691.0016622931032,3.5759034017657996
SiSn,mp-1009813,4.291627630706326,4.291627630706326,4.291627630706326,4.291627630706326,55.89218660970132,4.361247561367914
Sm(CuTe)3,mp-1219189,8.329199914472758,8.329199914472758,8.329200228748256,8.329200019231257,347.83040000462785,6.910809723997417
Sm(ErSe2)3,mp-13282,4.08174669,11.496460723862986,11.761196209755713,9.113134541206234,521.1984783330308,7.174218771502713
Sm2Mn3(SbS3)4,mp-1192255,10.170147294212459,10.170147294212459,14.891579084258659,11.743957890894526,462.3600958032572,4.803028650620211
Sm2O3,mp-218,9.472793378097125,9.472793644391693,9.47279343,9.472793484162938,654.3533566824561,7.079480081162786
Sm2S3,mp-1403,3.98836771,7.43455468,15.47437526,8.965765883333333,458.84211819880477,5.745705003776228
Sm2Se3,mp-15081,4.115172,11.11895133,11.36126744,8.865130256666667,519.8506654821398,6.868940343675141
Sm2Te3,mp-1106376,4.378482660000007,12.00026808000355,12.210115870002307,9.529622203335288,641.5556993944723,7.076621181130209
Sm2ZrSe5,mp-1198078,7.69379404,8.21263143,12.23235526,9.379593576666666,772.917204931014,6.760978480378132
Sm3B(SO)3,mp-1105337,4.050665215528432,7.715461235984081,11.310607512027989,7.692244654513501,353.297331773885,5.697334235137298
Sm4GaSbS9,mp-1199065,10.049090176702544,10.049090176702544,13.72453419,11.274238181135027,1385.806729271771,5.183655835714276
Sm4InSbS9,mp-1196183,10.12114079,10.12114079,27.87139646,16.03789268,2855.0759209907505,5.24194339014166
SmBiW2O9,mp-1200917,3.936701,5.813268,33.341769,14.363912666666666,763.0296493535305,7.582166361792146
SmCuSe2,mp-11793,6.667665682387559,7.138845819021928,7.40808229,7.071531263803163,350.37939394943106,7.048720440069294
SmCuSeO,mp-9194,3.970247,3.970247,8.786533,5.575675666666666,138.50090046854655,7.4062054656101095
Sn2SbS2I3,mp-1219046,7.7761767975244105,7.7761767975244105,17.461303,11.004552198349607,564.3843504904992,4.73121652507062
Sn2WO5,mp-557633,13.83267167,8.019101784549468,10.681319622322475,10.844364358957314,1082.4215080080846,6.151812947164751
Sn3Ir2Se3,mp-1194504,9.027409763709054,9.02740977079914,9.027408820395133,9.027409451634442,735.6796516509253,8.824949521283822
Sn3WO6,mp-556980,7.784458548732211,7.784458548732211,14.188066999770264,9.918994699078228,711.6421731715209,5.935831753975785
SnBr2,mp-29862,4.23954006,8.76486682,10.70067946,7.901695446666667,397.626590899177,4.652505947406003
SnCl2,mp-29179,4.32457481,9.630475334845192,15.984443645138573,9.979831263327922,665.715260636132,3.783777170456364
SnGe,mp-995181,4.363620197053818,4.363620197053818,12.586198,7.104479464702545,207.54824464034792,1.530941159943396
SnGeS3,mp-5045,10.73326962,6.844584746913787,7.536298493562893,8.37138428682556,531.9924307893193,3.5901240564423698
SnI2,mp-27194,4.4910830790714265,7.614042530330233,11.101833545868514,7.735653051756724,362.5936855637524,5.117978698029424
SnI4,mp-23182,12.61586996,12.61586996,12.61586996,12.61586996,2007.9440686885678,4.1437086996951304
SnO2,mp-856,3.20749977,4.76383605,4.76580004,4.245711953333333,72.82143907393863,6.873191556302777
SnPbS3,mp-1188095,3.85485,9.06626,14.432815,9.117975,504.4134958079262,5.558311572013088
SnS,mp-2231,3.95685521,4.53281069,11.39201851,6.627228136666666,204.3235483638381,4.90139839037615
SnS2,mp-1170,3.67430564,3.6743055611399518,6.22883184,4.5258143470466505,72.82621589710445,4.169006438095262
SnSe,mp-691,4.70090745,4.12625095,11.6644585,6.8305389666666665,226.25694595101302,5.8029379989225
SnSe2,mp-665,3.84189796,3.8419003128088693,6.4858801,4.723226124269623,82.9070527059618,5.5406012757769405
SnTe,mp-1883,4.505420385458509,4.505420386322524,4.50541987,4.505420213927011,64.66821344829322,6.324705070463654
Sr(LaS2)2,mp-34141,7.6302245520906755,7.630224265679339,7.630224808343047,7.630224542037688,341.9675241804545,4.794566938256253
Sr(NdS2)2,mp-37108,7.529168911481063,7.529168530133831,7.52916907572294,7.529168839112612,328.5624501000629,5.098063552494077
Sr(PrS2)2,mp-38240,7.571298786570176,7.5713107145957075,7.571299039033432,7.571302846733104,334.11004134277186,4.947127512790547
Sr2Be2B2O7,mp-556498,4.730326446711474,4.730326446711474,15.591676,8.350776297807649,302.13819607381964,3.593061787951688
Sr2ScSbO6,mp-1106218,5.771993,5.751533,9.963570508195343,7.162365502731781,269.84851686904693,5.389964205263415
Sr2SmTaO6,mp-1208761,6.024444,5.884196,10.240631933448249,7.383090644482749,297.93977721304066,6.716446697084901
Sr2TiO4,mp-5532,3.8962357014417193,3.8962353236820353,6.873493424657987,4.888654816593914,95.59542788402864,4.9871465095478476
Sr2V3Se5O18,mp-1197632,9.204459,10.818859,17.259738,12.427685333333335,1718.7548126158176,3.90646076367928
Sr3Ti2O7,mp-3349,3.908675994004703,3.9086761023356713,10.552604734207403,6.123318943515926,155.59136359944824,5.022340116866562
Sr4Te3(ClO2)4,mp-1218587,8.780872331869368,8.780872331869368,17.22860197467296,11.596782212803896,780.782141741351,4.266658761153353
Sr4V2(Se2O7)3,mp-1204879,14.438227142078247,14.276827849782494,9.010791248102022,12.575282079987588,1042.987443245584,4.018808930317438
Sr5V3O12F,mp-40674,10.141170135016273,10.141170135016273,7.518266,9.266868756677516,669.6138882246894,3.9772542854929176
SrBiClO2,mp-547244,6.987549858245377,6.987549858245377,5.680544,6.551881238830251,209.2603088660921,5.777712014833325
SrCrO4,mp-510607,7.39811993,6.7533951677968584,8.600444288562919,7.583986462119927,344.433546328756,3.926545563854614
SrO,mp-2472,3.6540231413584405,3.6540233632918797,3.65402447,3.6540236582167736,34.49840025661019,4.987595380591106
SrPbO3,mp-20489,5.88572476,6.02726206,8.3694263,6.760804373333333,296.90377048683945,7.669326838228552
SrS,mp-1087,4.276606179790507,4.276605902047028,4.27660487,4.276605650612512,55.30731406084619,3.593405710633063
SrSe,mp-2758,4.440220017995338,4.440221186960725,4.44022279,4.440221331652022,61.901185586472266,4.46861550539798
SrSeO4,mp-4092,7.36067571,6.8787796335362685,8.67736527397185,7.638940205836039,350.3325692370048,4.371653066875919
SrSnO3,mp-2879,5.73820206,5.72649997,8.10161313,6.522105053333334,266.2174999396318,6.345516909051056
SrTaNO2,mp-2583419,8.11027685,5.747458372475268,5.747158986455868,6.534964736310378,267.83674631005147,7.80119074770591
SrTe,mp-1958,4.745867863531458,4.745868853084878,4.74586757,4.745868095538779,75.58435544653058,4.728243242961414
SrTh(PS4)2,mp-1194714,11.242403,11.242403,9.764393,10.749732999999999,1234.1375005021987,3.434406494244769
SrTiO3,mp-4651,5.522329700714993,5.522329559400709,5.534898478941332,5.526519246352344,119.62507795144641,5.093987781835845
SrZrS3,mp-558760,3.84019975,8.58682343,13.99646858,8.807830586666666,461.5351916601778,3.9582074137901837
Ta2Mn3O8,mp-31909,9.47934217488202,9.47934217488202,9.47934217488202,9.47934217488202,647.7800116042033,6.71316414754598
Ta2O5,mp-10390,4.867753264291445,5.537789153209835,6.8681238710957855,5.757888762865689,168.1248937093548,8.7289892060389
Ta2Tl4S11,mp-18344,8.001897462445678,9.016505558031492,13.319287748445186,10.112563589640786,911.4296404208437,5.58284433247195
Ta4Cu2O11,mp-676563,6.267214727193013,6.267214727193013,13.080209565979896,8.53821300678864,429.7330666236046,7.935946170711641
Ta7Cu3O19,mp-28752,6.285716227786934,6.285716227786934,20.439699,11.00371048519129,699.3823346683047,8.363505379002003
TaCu3S4,mp-10748,5.48655743,5.48655743,5.48655743,5.48655743,165.15806593774687,5.025571147896058
TaNO,mp-4165,4.979142917553716,5.04121064,5.195280151898993,5.071877903150903,128.59579154520173,10.896074306494693
TaTl3S4,mp-7562,6.716719126271905,6.716718364884865,6.71671925,6.716718913718924,233.26503522396746,6.565969587348933
TaTlS3,mp-10795,3.52052828,9.36354836,14.4418627,9.108646446666667,476.0707586574709,6.718270500255314
Tb(CuSe)3,mp-1217841,7.73699964216989,7.73699964216989,7.736999497552071,7.73699959396395,279.70784379116225,6.963066032212186
Tb(CuTe)3,mp-1217851,8.210675596329574,8.210675596329574,8.210675905452181,8.210675699370443,337.4277332196543,7.208168350699238
Tb2(MoO4)3,mp-3114,10.558188,10.567519,10.750035,10.625247333333332,1199.4228172622293,4.4172960016694525
Tb2EuSe4,mp-646337,4.13517528,12.48679118,14.94252562,10.52149736,771.5583595640611,6.763508196295207
Tb2O3,mp-1056,9.235800219341932,9.235799716803356,9.23580033,9.235800088715097,606.4592869538722,8.013812686078552
Tb4Al2O9,mp-1200490,10.598324,7.46525,11.284778342431455,9.782784114143817,846.4379821886813,6.5418778223386616
Tb4GaSbS9,mp-1202576,9.922058120276308,9.922058120276308,13.583021,11.142379080184206,1337.036248261317,5.5429422513449325
TbWClO4,mp-1103802,6.385659139668669,6.385659139668669,7.002738213269435,6.591352164202259,256.9517826837954,5.715600438174673
TcS2,mp-9481,6.381344486737558,6.48675848693294,6.955908537164148,6.608003836944882,229.4155268124772,4.694071105098641
Te2Mo,mp-602,3.56565515,3.5656539686168984,14.64777841,7.2596958428723,161.280150965677,7.23066892428707
Te2Ru,mp-267,4.04135573,5.33087547,6.43748384,5.269905013333333,138.68892091453327,8.53132679029429
Te3As2,mp-484,4.03514784,7.768216989253612,10.154715878425275,7.319360235892963,306.5208834463345,5.771057633752973
TeI,mp-569766,4.241311416869428,8.271228138239975,9.96998341288372,7.4941743226643736,330.19365187694956,5.119597092881965
TeI4,mp-570884,14.694891,15.217651,17.530499,15.814347,3920.2003865394863,4.305102807150928
TeO2,mp-8377,4.40728137,4.87095789,8.72851176,6.00225034,187.38091447094357,5.657354018806982
TePb,mp-19717,4.625746504691805,4.625746923844236,4.62574704,4.625746822845347,69.98911846195519,7.94335593467838
TePb3Cl4O3,mp-1196950,7.574988,8.631125,16.307111,10.837741333333334,1066.169815246742,5.84996160550661
TeSe,mp-1217322,4.532095859441893,4.600110355681654,10.89717285397064,6.676459689698061,192.49977990130773,5.345475456222573
Th2Se5,mp-2392,8.01172825,8.02083495,10.74219315,8.924918783333332,690.3013880073445,8.26420097312425
ThO2,mp-643,3.9604759056646985,3.960476292953574,3.96047634,3.9604761795394245,43.92656473586823,9.981284074654347
ThSO,mp-8136,3.97421556,3.97421556,6.77586343,4.908098183333333,107.0206249745882,8.692176439657416
ThSeO,mp-7950,4.03862619,4.03862619,7.07161869,5.04962369,115.34164726873333,9.41536851374871
ThTeO,mp-3718,4.1293283,4.1293283,7.80849023,5.35571561,133.1453171336779,9.369622464185339
Ti(Bi3O5)4,mp-23494,8.815999642320284,8.816023688963416,8.816022967271842,8.816015432851847,527.4664135784507,9.052858903741887
Ti6H2O13,mp-1191976,7.691846591300492,7.691846591300492,9.384827952865411,8.25617371182213,261.54147559856006,3.1568100633284675
TiCoSb,mp-5967,4.141308317562652,4.1413085654590045,4.14130887,4.141308584340552,50.222441895432794,7.557042599749188
TiFe2Si,mp-866141,3.99296332802545,3.99296332802545,3.99296332802545,3.99296332802545,45.006166962292156,6.92322236784906
TiO2,mp-390,3.7825395148615826,3.7825398449736825,5.501451398935157,4.355510252923474,68.78397225482972,3.8561390579169474
TiS3,mp-9920,3.41651673,5.033155907201254,8.973195080437202,5.807622572546152,153.2064428549375,3.1228527280544403
TiTlPS5,mp-1542940,6.76725864303508,7.125070767549822,9.826854871095533,7.906394760560144,433.2135538417105,3.400311642483385
Tl2BiP2S7,mp-559093,12.270575623652705,12.270575623652705,19.095217501900546,14.545456249735318,1330.445859697199,4.51390215004013
Tl2Cu2SnS4,mp-18240,9.374161513483806,9.374161513483806,9.374161513483806,9.374161513483806,424.161231099308,6.129355431106988
Tl2GeTe3,mp-29034,8.557292,8.773852,22.008235,13.113126333333334,1652.3873848386577,6.947759752129458
Tl2Hg3S4,mp-1188364,6.809260594632623,6.809260594632623,13.304766085000297,8.974429091421849,483.2525464171811,7.826202912871073
Tl2Hg3Se4,mp-1105692,7.067066893187949,7.067066893187949,13.632670878187767,9.255601554854556,526.6675305628945,8.363910943855155
Tl2Hg3Te4,mp-1190100,7.601654606491076,7.601654606491076,13.350427957522749,9.5179123901683,635.1333438480585,7.95289577089489
Tl2PAuS4,mp-9510,6.842394,6.625654,9.552453748212445,7.673500582737482,432.72364349107414,5.870987142438443
Tl2S,mp-667,9.474387056086666,9.474386843053217,9.474386826220826,9.47438690845357,824.4993888337151,7.990500577138402
Tl2Te3,mp-29711,6.64435725,7.490943387821907,8.122970536468218,7.419423724763374,347.80630992550755,7.5583865249440505
