Formula,Material ID,density,density_atomic,avg_Density_(g/mL),sum_Density_(g/mL),range_Density_(g/mL)
CaSe,mp-1415,3.77164603,26.20437441,3.17,6.34,3.24
CaSnO3,mp-4438,5.520396787,12.44028561,1.772,8.86,7.31
CaTaNO2,mp-556340,7.056899503,12.56687978,3.6300000000000003,18.150000000000002,16.6
CaTe,mp-1519,4.265149323,32.64081144,3.895,7.79,4.69
CaZnSO,mp-7204,3.580958773,17.80096579,2.6875,10.75,7.13
Cd(GaS2)2,mp-4452,3.946332376,22.84939418,4.104285714285714,28.730000000000004,6.58
Cd(GaSe2)2,mp-3772,5.163480132,26.08105448,5.658571428571429,39.61,3.8600000000000003
Cd(InS2)2,mp-559200,4.789859607,23.29215738,4.507142857142857,31.549999999999997,6.58
Cd(InSe2)2,mp-22304,5.299382669,29.44944273,6.061428571428571,42.43,3.8600000000000003
Cd(InTe2)2,mp-21374,5.549603021,36.43816736,6.890000000000001,48.230000000000004,2.41
Cd2InCuTe4,mp-1227025,5.638496464,33.63142226,7.31625,58.53,2.7200000000000006
Cd4As2Br3,mp-1203526,5.371929243,28.82314493,6.1577777777777785,55.42,5.53
Cd4As2I3,mp-27528,5.524101318,32.73858623,6.761111111111111,60.85,3.7200000000000006
Cd4P2Br3,mp-28914,5.114675486,27.10216157,5.288888888888889,47.6,6.83
Cd4P2Cl3,mp-29746,4.47098632,25.50098476,4.248888888888889,38.24,8.65
Cd4P2I3,mp-568545,5.40885446,30.43789305,5.892222222222221,53.03,6.83
Cd4Sb2I3,mp-29044,5.557658485,35.65081304,6.974444444444444,62.77,3.7200000000000006
CdAg2GeS4,mp-1197203,4.813239904,22.8147748,5.40625,43.25,8.43
CdAs2,mp-471,5.705092247,25.44413106,6.703333333333333,20.11,2.92
CdBiClO2,mp-550553,6.374422446,20.25875536,3.6800000000000006,18.4,9.75
CdBr2,mp-568722,4.887249835,30.83058294,4.963333333333333,14.89,5.53
CdCl2,mp-22881,3.869336072,26.22370991,2.8833333333333333,8.65,8.65
CdCu2GeS4,mp-13982,4.618779706,19.79165583,5.02125,40.17,6.890000000000001
CdF2,mp-241,6.34085497,13.12956689,2.8833333333333333,8.65,8.65
CdGeAs2,mp-4953,5.494970404,25.30063228,6.3575,25.43,3.33
CdGeP2,mp-3668,4.561961999,22.47666128,4.4025,17.61,6.83
CdHg4(AsI2)2,mp-570838,6.390187403,37.14150272,8.53,93.83,8.57
CdHg6(As2Br3)2,mp-567910,6.789362577,30.14171292,7.722941176470589,131.29000000000002,10.379999999999999
CdI2,mp-570437,5.33992125,37.96076689,6.17,18.509999999999998,3.7200000000000006
CdIClO3,mp-1191962,4.723675073,18.91065243,2.263333333333333,13.58,8.65
CdP2,mp-913,4.13057479,23.36471762,4.096666666666667,12.290000000000001,6.83
CdP4,mp-7904,3.799097857,20.65729492,3.1860000000000004,15.93,6.83
CdS,mp-672,4.702284794,25.5097312,5.36,10.72,6.58
CdSb,mp-1321,6.599078064,29.46245596,7.67,15.34,1.96
CdSb2Se3Br2,mp-567556,5.114825927,30.54241898,5.330000000000001,42.64000000000001,5.53
CdSe,mp-1070,5.480139996,28.99369559,6.720000000000001,13.440000000000001,3.8600000000000003
CdSiAs2,mp-3078,5.019279735,24.01342622,5.61,22.44,6.32
CdSiP2,mp-4666,3.960434743,21.22028467,3.6550000000000002,14.620000000000001,6.83
CdSnAs2,mp-3829,5.562690705,28.43075279,6.855,27.42,2.92
CdSnO3,mp-754329,7.073964607,13.10406149,3.192,15.96,8.65
CdSnP2,mp-5213,4.762893134,25.54391415,4.9,19.6,6.83
CdTe,mp-406,5.636239503,35.35581142,7.445,14.89,2.41
CdTeO3,mp-28290,6.32473192,15.12318733,2.9780000000000006,14.89,8.65
Ce10Se14O,mp-1198305,6.534965728,25.63976631,5.346400000000001,133.66,6.66
CeBiW2O9,mp-1204806,8.088548989,13.59323271,4.231538461538461,55.010000000000005,19.3
CeMoO4F,mp-1192442,4.967810313,15.23517785,2.4085714285714284,16.86,10.2
CeO2,mp-20194,6.994759104,13.6198805,2.2199999999999998,6.66,6.66
CeTl2P2S7,mp-638100,4.398139549,26.28049816,4.049166666666666,48.59,10.08
Co2Te3O8,mp-18855,5.578240041,14.39545754,2.809230769230769,36.519999999999996,8.9
CoAsSe,mp-505511,7.391006616,15.93771545,6.473333333333334,19.42,4.11
CoP2,mp-14285,5.185653189,12.90272405,4.18,12.540000000000001,7.08
CoPS,mp-1226003,5.140340194,13.13396857,4.263333333333334,12.790000000000001,7.08
CoSb3,mp-1317,7.594834427,23.18755562,7.2425,28.97,2.21
CoSbS,mp-5881,7.023037647,16.76830418,5.886666666666667,17.66,6.83
CrB2(PbO2)6,mp-1197022,6.856192251,17.40129737,3.822380952380952,80.27000000000001,11.4
CrO3,mp-510421,2.88505257,14.38833761,1.7975,7.19,7.19
CrPbO4,mp-19146,6.105820644,14.64929385,3.098333333333333,18.59,11.4
Cs2AgBiBr6,mp-1078250,4.652655553,37.90590406,4.271,42.71,8.629999999999999
Cs2AgBiCl6,mp-1078258,4.185373901,31.55644989,2.399,23.990000000000002,10.5
Cs2Al2B2O7,mp-1019602,3.470986088,16.68501169,1.063076923076923,13.82,2.7
Cs2Ba3(P2O7)2,mp-1019605,4.001065992,18.50788622,0.9356521739130435,21.52,3.5
