Formula,Material ID,formula_unit_mass,volume,density,estimate_density
LiH3(SeO3)2,mp-696288,527.76244,270.85746394737725,3.2355399653095818,3.2355417840280114
LiI,mp-570935,267.69094,130.39149697099566,3.4090510038684037,3.409052920118537
LiIO3,mp-23384,1454.74936,567.1687177525457,4.259170276463127,4.259172670570931
LiIn(IO3)4,mp-973966,821.36968,284.1810755323359,4.799462593368732,4.799465291178423
LiInS2,mp-1188392,743.556,365.5210189743567,3.377928278021819,3.377930176777663
LiInSe2,mp-20187,559.358,210.40947671206862,4.414420042906587,4.414422524281313
LiInTe2,mp-20782,753.918,266.1031655628087,4.704605033033507,4.704607677523136
LiMgAs,mp-12558,106.1676,58.328389330975824,3.022463836722795,3.0224655356697223
LiMgBi,mp-570213,240.2264,77.94396843335585,5.117847218284155,5.117850095059951
LiMgN,mp-37906,45.2527,30.452298785809447,2.4675928982460373,2.4675942852963377
LiMoIO6,mp-558917,651.56374,260.23128451863494,4.157636337427093,4.157638674461997
LiNbO3,mp-3731,1182.7646399999999,429.06236195769645,4.577485851594526,4.57748842462962
LiSbS2,mp-1079885,385.662,169.30242856169352,3.7826203849741353,3.78262251121009
LiSbSe2,mp-37480,573.242,183.4092510914638,5.189982129861168,5.189985047184474
LiSbTe2,mp-1222285,383.90099999999995,114.56856798665653,5.564201590448894,5.564204718123436
LiSiB6,mp-973391,399.57,281.67713989551106,2.3555393777694906,2.355540701833766
LiTaO3,mp-3666,471.77416,105.12489484369374,7.452082824503236,7.452087013368317
LiZnBO3,mp-1222376,262.3184,117.08812040451187,3.7201891155408826,3.7201912066838076
LiZnN,mp-7575,86.3567,28.78282869116706,4.982091077680031,4.982093878146402
Lu2O3,mp-1427,3183.4576,540.2615684677361,9.78462289416088,9.784628394162171
Mg2Ge,mp-408,121.25,64.57586863742208,3.1178885561064233,3.117890308692217
Mg2GeSe4,mp-1192564,1748.36,672.0344668586747,4.320046404839095,4.320048833165773
Mg2Si,mp-1367,76.6955,63.69904837788204,1.9993371522115477,1.999338276052194
Mg3As2,mp-1990,1782.0656,944.6147476461049,3.132694630713741,3.132696391622128
Mg3AsN,mp-1206514,161.84329999999997,74.42114156493827,3.6111663522785498,3.611168382139058
Mg3N2,mp-1559,807.4272,489.827010464277,2.73722024386655,2.737221782476166
Mg3P2,mp-2514,1078.900192,866.2922139668336,2.0680734386085926,2.0680746010863613
Mg3Sb2,mp-1196139,2531.48,1177.5395959499585,3.569834467371242,3.5698364739988238
