,compound,mp
799,La2Fe(SeO)2,1.1414
310,CdSb2Se3Br2,1.1429
1146,ReSe2,1.1434000000000002
633,In2Bi3Se7I,1.1486999999999998
470,CuPS3,1.1555
815,La4Cd4In2S13,1.1568999999999994
183,BaHgS2,1.1569
1117,RbAg5(PS4)2,1.1624999999999996
700,K2La2Sb2S9,1.1627
732,K3Nb2AsSe11,1.1647999999999998
1434,ZnSe,1.1663
1084,Rb2Cu2Sb2S5,1.1696
919,MnI2,1.1707999999999998
1104,Rb3Nb2AsSe11,1.1729
1277,Ta7Cu3O19,1.1738999999999995
282,Cd4As2I3,1.1746
709,K2PdSe10,1.1765
133,Ba2YInSe5,1.1767999999999996
587,GdScS3,1.1773999999999996
1428,ZnGeP2,1.1782000000000004
61,AsOsS,1.1795
1319,TiTlPS5,1.1811
1387,Y(CuSe)3,1.1817000000000002
18,AgBi(PS3)2,1.1837999999999995
824,LaCuTeO,1.1839000000000004
1283,Tb(CuSe)3,1.1848
97,Ba2ErInSe5,1.1854
620,HgO,1.1867
737,K3Ti2P5S18,1.1872999999999998
735,K3Ta2AsSe11,1.1878000000000002
1291,TcS2,1.1885000000000003
370,Cs2PdSe8,1.1887
810,La3CuGeSe7,1.1936
152,Ba3Ta2Se9,1.202
945,Na2TeSe3,1.2031
76,BAs,1.2036999999999995
789,KTeP2,1.2093000000000005
573,GaSe,1.2121
991,Nb2Tl4S11,1.2121
29,AgP15,1.2132000000000005
596,GeO2,1.2157
608,HfS2,1.2237
49,AlSb,1.2255000000000005
1071,PrTl2InSe4,1.2316000000000005
237,BiTeI,1.2325
724,K2VCuS4,1.2343
67,AsSeI,1.2345000000000002
600,GeS,1.2375999999999996
474,Dy(CuSe)3,1.2397
970,NaIn3S5,1.2428
78,BP,1.2434999999999992
1099,Rb2VCuS4,1.2439
745,KAg2PS4,1.2441
855,LiAlB14,1.2527
381,Cs2ZnSn3Se8,1.2553000000000003
1030,P4Ru,1.2586000000000013
1332,Tl2TeS3,1.2603000000000004
627,Ho2HfS5,1.2606000000000002
1072,PrTlSe2,1.2621000000000002
125,Ba2SnSe4,1.2645999999999995
1376,V3As2O9,1.2701000000000002
1276,Ta4Cu2O11,1.2731
453,Cu2WSe4,1.2756999999999996
2,Ag2HgI4,1.2763999999999998
19,AgBi(PSe3)2,1.2778
1161,Sb8I2O11,1.2782
1040,Pb3O4,1.2818999999999998
1221,SmCuSeO,1.2864999999999993
1156,Sb2S3,1.2866
1077,Rb2BaNb2Se11,1.2878
762,KCu4AsS4,1.2885000000000004
1028,P2Se5,1.2912
136,Ba2ZnTe3,1.2922000000000002
659,InBi2Se4Br,1.2945000000000002
1327,Tl2PAuS4,1.2994000000000003
928,MoSe2,1.3010000000000002
1029,P4Os,1.3036000000000003
723,K2VAgS4,1.3049999999999995
920,MnO,1.310499999999999
1145,ReS2,1.3202000000000005
903,Mg3Sb2,1.3212000000000002
684,K2Cd2Te3,1.3224
157,Ba4Ga4SnSe12,1.3292000000000002
1098,Rb2VAgS4,1.3323
780,KSb5S8,1.3375
1119,RbBiS2,1.3389999999999995
301,CdHg6(As2Br3)2,1.3414
948,Na2Zn(GeSe3)2,1.3476
273,Cd(GaSe2)2,1.3487
668,InS,1.3508000000000004
422,CsInTe2,1.3522000000000003
1385,WO3,1.3529
410,CsCu2AsS3,1.3532000000000002
356,Cs2AgBiBr6,1.3547
957,NaAsS2,1.3553
441,CsTbZnTe3,1.3573
107,Ba2GdGaSe5,1.3594000000000002
976,NaNb2PS10,1.3602
994,NbCu3Se4,1.3604000000000005
213,Bi2S3,1.3617999999999997
439,CsSmHgSe3,1.3625
1437,ZnSiP2,1.3641000000000003
937,Na2In2GeSe6,1.3672000000000002
1110,Rb4Ge(PSe3)4,1.3687
32,AgSbS2,1.3716000000000002
880,LiMgAs,1.3722999999999996
987,Nb2AgPS10,1.3724999999999996
26,AgI,1.3759
1125,RbGaSnSe4,1.3781
285,Cd4P2I3,1.379
419,CsInHgS3,1.3790000000000002
1173,SbSeI,1.3811000000000004
605,HfHg4(AsCl3)2,1.3812000000000002
997,Nd10Se14O,1.3835000000000002
284,Cd4P2Cl3,1.3836
393,Cs4Ge(PSe3)4,1.3838
879,LiInTe2,1.3847
379,Cs2VAgS4,1.3867
376,Cs2TeI6,1.3877
694,K2Hg(PSe3)2,1.3922
741,K4Nb2S11,1.3942000000000003
111,Ba2In2Se5,1.3945
443,CsYHgSe3,1.3946
482,Dy4Te3S4,1.3965999999999994
738,K4Ge(PSe3)4,1.3986
283,Cd4P2Br3,1.3992999999999998
1401,Zn(GaSe2)2,1.4000999999999997
935,Na2Ge2Se5,1.4023
1402,Zn(InS2)2,1.4023999999999996
686,K2Cd3Se4,1.4027999999999998
380,Cs2ZnGe3Se8,1.4028
1378,VAg(IO4)2,1.4028999999999998
242,Ca(GdS2)2,1.4034
30,AgPd(IO3)3,1.4039000000000006
142,Ba3Gd2(PS4)4,1.4044
743,K6Cd4Sn3Se13,1.4058
1198,SiB3,1.4080000000000004
39,AlAgO2,1.4090999999999996
1082,Rb2Cd3Se4,1.4123
754,KBiS2,1.4158000000000002
786,KSnAuSe3,1.4172999999999998
716,K2Sn2Hg3S8,1.4179
688,K2Ce(PO4)2,1.4179000000000002
776,KPSe3,1.4182
731,K3NaSn3Se8,1.4211000000000005
1056,Pr10Se14O,1.4217999999999995
690,K2Ga3CuSe6,1.4218
753,KBi3S5,1.4227
165,BaAgSbS3,1.4228999999999998
1058,Pr2Se3,1.4255999999999998
313,CdSiP2,1.4257
1201,SiP2,1.4262
1001,Nd2Se3,1.4284999999999997
368,Cs2MgSn3Se8,1.4299
899,Mg3As2,1.431
394,Cs4Zr3S14,1.4329000000000005
388,Cs3Nb9(TeO8)4,1.4336000000000002
1168,SbPbIO2,1.4366000000000003
1097,Rb2Ti(CuS2)2,1.4368000000000003
1172,SbSeBr,1.4377999999999995
687,K2Cd3Te4,1.438
603,GeSe2,1.4381000000000002
1083,Rb2Cd3Te4,1.4415
